"lat","lon","N_khy_1850","N_khy_2000","N_to_1984","N_to_2000"
38.8421052632,-72.5,3.083918,8.238514,622.845062,747.998919
38.8421052632,-75,3.980182,10.461443,810.066282,972.32314
38.8421052632,-77.5,6.197741,13.39746,1108.638889,1327.766269
38.8421052632,-80,4.285657,12.49908,869.185807,1077.396337
38.8421052632,-82.5,5.456406,14.20334,1021.720762,1260.509202
38.8421052632,-85,5.688023,15.3427,1158.589507,1415.978887
38.8421052632,-87.5,4.196468,15.13204,999.227961,1251.350351
38.8421052632,-90,4.305946,13.89543,1014.704897,1241.967667
38.8421052632,-92.5,3.139575,11.34374,735.669544,918.119404
38.8421052632,-95,2.496378,13.06802,796.581191,1003.375921
38.8421052632,-97.5,1.825707,11.50016,597.857136,775.569136
40.7368421053,-100,1.538512,9.14372,469.382911,618.197391
40.7368421053,-102.5,1.534862,6.77511,370.5754371,485.0679071
40.7368421053,-105,1.268152,5.199826,296.156663,377.817401
40.7368421053,-107.5,0.852125,3.930972,197.938642,256.363334
40.7368421053,-110,0.778831,3.353286,170.855643,219.101631
40.7368421053,-112.5,0.842931,3.342309,185.086188,232.517709
40.7368421053,-115,0.5679786,2.277479,111.7121262,144.2636932
40.7368421053,-117.5,0.4911175,2.150062,106.371575,139.384293
40.7368421053,-120,0.834924,2.461969,138.0975733,176.1434303
40.7368421053,-122.5,1.14323,3.870656,210.2259734,269.2010024
40.7368421053,-125,0.2843544,1.728108,76.619761,100.8914496
40.7368421053,-127.5,0.1867862,1.1606631,50.8176653,66.9958507
40.7368421053,-62.5,1.617541,5.990579,407.219923,498.152677
40.7368421053,-65,2.046358,6.960524,472.631573,576.383185
40.7368421053,-67.5,2.291097,7.276451,514.734833,624.710458
40.7368421053,-70,2.827255,7.509793,584.44079,700.058306
40.7368421053,-72.5,4.808376,9.57058,896.185183,1043.09885
40.7368421053,-75,8.826317,15.15266,1682.793828,1925.254108
40.7368421053,-77.5,6.746496,13.49034,1122.155232,1340.472641
40.7368421053,-80,7.682215,14.55269,1232.56024,1469.29875
40.7368421053,-82.5,5.696936,14.63241,1113.363344,1353.813164
40.7368421053,-85,4.996663,15.57367,1108.90954,1365.09791
40.7368421053,-87.5,3.854354,15.28009,1071.805782,1323.189872
40.7368421053,-90,3.087445,14.35545,906.561929,1140.366259
40.7368421053,-92.5,2.207839,12.44361,734.562334,939.446434
40.7368421053,-95,1.927469,12.53273,716.681443,917.815733
40.7368421053,-97.5,1.510905,10.82103,584.66773,757.46531
42.6315789474,-100,1.314235,7.51283,397.088362,521.913092
42.6315789474,-102.5,1.511408,6.13892,342.548911,447.662061
42.6315789474,-105,1.216584,5.52086,291.666463,381.745683
42.6315789474,-107.5,0.91902,4.299536,207.982191,272.483838
42.6315789474,-110,0.927659,3.189001,170.2788147,216.1134197
42.6315789474,-112.5,0.668249,3.077273,153.2275474,197.6735394
42.6315789474,-115,0.5211894,2.609054,125.4419766,164.3554866
42.6315789474,-117.5,0.4738309,3.895166,159.9541589,217.8755229
42.6315789474,-120,0.552881,2.543649,115.4549482,152.8584662
42.6315789474,-122.5,0.743956,3.871884,184.5044607,241.3539437
42.6315789474,-125,0.3330823,1.819013,82.8469334,108.6847847
42.6315789474,-127.5,0.198867,1.1477267,51.4500448,67.7084187
42.6315789474,-62.5,1.2270653,5.36895,346.2543389,426.6189669
42.6315789474,-65,1.491289,5.934888,400.86406,491.125352
42.6315789474,-67.5,2.004485,6.130385,447.745608,543.439975
